10000,0,-128
10000,1,-86
10000,2,-91
10000,3,-90
10000,4,-88
10000,5,-87
10000,6,-86
10000,7,-92
30037,0,-128
30037,1,-1250
10000,0,-128
10000,1,-86
10000,2,-91
10000,3,-90
10000,4,-88
10000,5,-87
10000,6,-86
10000,7,-92
30037,0,-128
30037,1,-80
30037,2,-93
30037,3,-92
30037,4,-93
30037,5,-90
30037,6,-80
30037,7,-89
50058,0,-128
50058,1,-80
50058,2,-78
50058,3,-74
50058,4,-89
50058,5,-82
50058,6,-84
50058,7,-73
70079,0,-128
70079,1,-77
70079,2,-80
70079,3,-79
70079,4,-85
70079,5,-80
70079,6,-80
70079,7,-88
90100,0,-128
90100,1,-73
90100,2,-80
90100,3,-70
90100,4,-81
90100,5,-79
90100,6,-80
90100,7,-81
110121,0,-128
110121,1,-74
110121,2,-78
110121,3,-71
110121,4,-77
110121,5,-80
110121,6,-81
110121,7,-71
130142,0,-128
130142,1,-79
130142,2,-80
130142,3,-74
130142,4,-78
130142,5,-70
130142,6,-79
130142,7,-80
150163,0,-128
150163,1,-83
150163,2,-77
150163,3,-77
150163,4,-88
150163,5,-76
150163,6,-81
150163,7,-79
170184,0,-128
170184,1,-76
170184,2,-77
170184,3,-77
170184,4,-78
170184,5,-80
170184,6,-79
170184,7,-75
190205,0,-128
190205,1,-72
190205,2,-78
190205,3,-78
190205,4,-78
190205,5,-69
190205,6,-81
190205,7,-77
249
210259,0,-128
210259,1,-89
210259,2,-75
210259,3,-78
210259,4,-80
210259,5,-78
210259,6,-80
210259,7,-74
230280,0,-128
230280,1,-78
230280,2,-79
230280,3,-76
230280,4,-81
230280,5,-76
230280,6,-79
230280,7,-74
250301,0,-128
250301,1,-81
250301,2,-82
250301,3,-71
250301,4,-83
250301,5,-76
250301,6,-78
250301,7,-77
270322,0,-128
270322,1,-76
270322,2,-77
270322,3,-72
270322,4,-85
270322,5,-72
270322,6,-78
270322,7,-73
290343,0,-128
290343,1,-74
290343,2,-76
290343,3,-72
290343,4,-77
290343,5,-71
290343,6,-79
290343,7,-72
310364,0,-128
310364,1,-75
310364,2,-75
310364,3,-77
310364,4,-81
310364,5,-74
310364,6,-80
310364,7,-79
330385,0,-128
330385,1,-77
330385,2,-77
330385,3,-79
330385,4,-81
330385,5,-79
330385,6,-78
330385,7,-77
350406,0,-128
350406,1,-79
350406,2,-78
350406,3,-77
350406,4,-77
350406,5,-71
350406,6,-79
350406,7,-71
370427,0,-128
370427,1,-79
370427,2,-79
370427,3,-76
370427,4,-78
370427,5,-76
370427,6,-81
370427,7,-77
390448,0,-128
390448,1,-76
390448,2,-78
390448,3,-73
390448,4,-82
390448,5,-77
390448,6,-83
390448,7,-76
248
410503,0,-128
410503,1,-75
410503,2,-79
410503,3,-79
410503,4,-78
410503,5,-76
410503,6,-90
410503,7,-76
430524,0,-128
430524,1,-83
430524,2,-80
430524,3,-78
430524,4,-85
430524,5,-73
430524,6,-79
430524,7,-78
450545,0,-128
450545,1,-75
450545,2,-78
450545,3,-82
450545,4,-80
450545,5,-73
450545,6,-81
450545,7,-71
470566,0,-128
470566,1,-76
470566,2,-78
470566,3,-75
470566,4,-82
470566,5,-74
470566,6,-78
470566,7,-84
490587,0,-128
490587,1,-77
490587,2,-77
490587,3,-72
490587,4,-76
490587,5,-76
490587,6,-79
490587,7,-75
510608,0,-128
510608,1,-79
510608,2,-78
510608,3,-72
510608,4,-87
510608,5,-78
510608,6,-79
510608,7,-74
530629,0,-128
530629,1,-86
530629,2,-76
530629,3,-74
530629,4,-91
530629,5,-74
530629,6,-78
530629,7,-91
550650,0,-128
550650,1,-72
550650,2,-76
550650,3,-75
550650,4,-93
550650,5,-75
550650,6,-78
550650,7,-94
570671,0,-128
570671,1,-79
570671,2,-77
570671,3,-71
570671,4,-94
570671,5,-76
570671,6,-78
570671,7,-94
590692,0,-128
590692,1,-74
590692,2,-81
590692,3,-81
590692,4,-93
590692,5,-79
590692,6,-79
590692,7,-94
247
610747,0,-128
610747,1,-75
610747,2,-78
610747,3,-71
610747,4,-90
610747,5,-78
610747,6,-77
610747,7,-128
630768,0,-128
630768,1,-78
630768,2,-77
630768,3,-73
630768,4,-90
630768,5,-69
630768,6,-79
630768,7,-128
650789,0,-128
650789,1,-73
650789,2,-78
650789,3,-73
650789,4,-86
650789,5,-79
650789,6,-79
650789,7,-128
670810,0,-128
670810,1,-76
670810,2,-78
670810,3,-81
670810,4,-89
670810,5,-71
670810,6,-79
670810,7,-128
690831,0,-128
690831,1,-78
690831,2,-79
690831,3,-76
690831,4,-91
690831,5,-70
690831,6,-79
690831,7,-128
710852,0,-128
710852,1,-82
710852,2,-78
710852,3,-75
710852,4,-94
710852,5,-80
710852,6,-78
710852,7,-94
730873,0,-128
730873,1,-72
730873,2,-76
730873,3,-77
730873,4,-128
730873,5,-79
730873,6,-77
730873,7,-128
750894,0,-128
750894,1,-80
750894,2,-78
750894,3,-72
750894,4,-88
750894,5,-80
750894,6,-77
750894,7,-128
770915,0,-128
770915,1,-72
770915,2,-76
770915,3,-75
770915,4,-90
770915,5,-80
770915,6,-77
770915,7,-94
790936,0,-128
790936,1,-74
790936,2,-79
790936,3,-71
790936,4,-91
790936,5,-68
790936,6,-78
790936,7,-128
246
810990,0,-128
810990,1,-77
810990,2,-76
810990,3,-71
810990,4,-94
810990,5,-69
810990,6,-82
810990,7,-81
831011,0,-128
831011,1,-75
831011,2,-79
831011,3,-70
831011,4,-94
831011,5,-72
831011,6,-79
831011,7,-128
851032,0,-128
851032,1,-76
851032,2,-76
851032,3,-71
851032,4,-94
851032,5,-76
851032,6,-89
851032,7,-128
871053,0,-128
871053,1,-76
871053,2,-78
871053,3,-73
871053,4,-93
871053,5,-78
871053,6,-81
871053,7,-94
891074,0,-128
891074,1,-73
891074,2,-78
891074,3,-72
891074,4,-94
891074,5,-73
891074,6,-78
891074,7,-128
911095,0,-128
911095,1,-72
911095,2,-77
911095,3,-74
911095,4,-94
911095,5,-71
911095,6,-79
911095,7,-128
931116,0,-128
931116,1,-80
931116,2,-76
931116,3,-77
931116,4,-94
931116,5,-75
931116,6,-79
931116,7,-128
951137,0,-128
951137,1,-71
951137,2,-77
951137,3,-79
951137,4,-94
951137,5,-72
951137,6,-85
951137,7,-128
971158,0,-128
971158,1,-75
971158,2,-79
971158,3,-76
971158,4,-94
971158,5,-71
971158,6,-83
971158,7,-128
991179,0,-128
991179,1,-88
991179,2,-76
991179,3,-72
991179,4,-94
991179,5,-69
991179,6,-80
991179,7,-128
245
1011233,0,-128
1011233,1,-79
1011233,2,-77
1011233,3,-79
1011233,4,-128
1011233,5,-77
1011233,6,-79
1011233,7,-128
1031254,0,-128
1031254,1,-79
1031254,2,-76
1031254,3,-75
1031254,4,-94
1031254,5,-76
1031254,6,-77
1031254,7,-128
1051275,0,-128
1051275,1,-75
1051275,2,-76
1051275,3,-73
1051275,4,-93
1051275,5,-72
1051275,6,-78
1051275,7,-128
1071296,0,-128
1071296,1,-79
1071296,2,-77
1071296,3,-75
1071296,4,-94
1071296,5,-76
1071296,6,-77
1071296,7,-128
1091317,0,-128
1091317,1,-73
1091317,2,-75
1091317,3,-78
1091317,4,-94
1091317,5,-70
1091317,6,-80
1091317,7,-94
1111338,0,-128
1111338,1,-80
1111338,2,-75
1111338,3,-80
1111338,4,-93
1111338,5,-76
1111338,6,-78
1111338,7,-128
1131359,0,-128
1131359,1,-77
1131359,2,-76
1131359,3,-80
1131359,4,-128
1131359,5,-77
1131359,6,-77
1131359,7,-128
1151380,0,-128
1151380,1,-76
1151380,2,-75
1151380,3,-77
1151380,4,-94
1151380,5,-70
1151380,6,-80
1151380,7,-128
1171401,0,-128
1171401,1,-82
1171401,2,-75
1171401,3,-73
1171401,4,-94
1171401,5,-75
1171401,6,-78
1171401,7,-128
1191422,0,-128
1191422,1,-80
1191422,2,-74
1191422,3,-72
1191422,4,-94
1191422,5,-71
1191422,6,-78
1191422,7,-128
244
1211476,0,-128
1211476,1,-77
1211476,2,-74
1211476,3,-75
1211476,4,-94
1211476,5,-88
1211476,6,-81
1211476,7,-128
1231497,0,-128
1231497,1,-79
1231497,2,-77
1231497,3,-76
1231497,4,-94
1231497,5,-88
1231497,6,-79
1231497,7,-128
1251518,0,-128
1251518,1,-77
1251518,2,-75
1251518,3,-77
1251518,4,-91
1251518,5,-91
1251518,6,-79
1251518,7,-128
1271539,0,-128
1271539,1,-82
1271539,2,-80
1271539,3,-74
1271539,4,-94
1271539,5,-94
1271539,6,-80
1271539,7,-128
1291560,0,-128
1291560,1,-76
1291560,2,-74
1291560,3,-74
1291560,4,-94
1291560,5,-128
1291560,6,-82
1291560,7,-128
1311581,0,-128
1311581,1,-83
1311581,2,-78
1311581,3,-74
1311581,4,-94
1311581,5,-128
1311581,6,-70
1311581,7,-94
1331602,0,-128
1331602,1,-77
1331602,2,-78
1331602,3,-73
1331602,4,-94
1331602,5,-128
1331602,6,-75
1331602,7,-128
1351623,0,-128
1351623,1,-77
1351623,2,-79
1351623,3,-74
1351623,4,-94
1351623,5,-90
1351623,6,-79
1351623,7,-128
1371644,0,-128
1371644,1,-83
1371644,2,-76
1371644,3,-73
1371644,4,-128
1371644,5,-128
1371644,6,-82
1371644,7,-128
1391665,0,-128
1391665,1,-84
1391665,2,-80
1391665,3,-84
1391665,4,-94
1391665,5,-128
1391665,6,-87
1391665,7,-94
243
1411720,0,-128
1411720,1,-84
1411720,2,-81
1411720,3,-80
1411720,4,-128
1411720,5,-128
1411720,6,-93
1411720,7,-94
1431741,0,-128
1431741,1,-89
1431741,2,-83
1431741,3,-90
1431741,4,-94
1431741,5,-128
1431741,6,-93
1431741,7,-128
1451762,0,-128
1451762,1,-90
1451762,2,-79
1451762,3,-92
1451762,4,-89
1451762,5,-128
1451762,6,-94
1451762,7,-128
1471783,0,-128
1471783,1,-89
1471783,2,-82
1471783,3,-92
1471783,4,-92
1471783,5,-128
1471783,6,-93
1471783,7,-128
1491804,0,-128
1491804,1,-88
1491804,2,-84
1491804,3,-93
1491804,4,-90
1491804,5,-128
1491804,6,-94
1491804,7,-128
1511825,0,-128
1511825,1,-85
1511825,2,-78
1511825,3,-94
1511825,4,-88
1511825,5,-128
1511825,6,-94
1511825,7,-128
1531846,0,-128
1531846,1,-89
1531846,2,-79
1531846,3,-94
1531846,4,-128
1531846,5,-128
1531846,6,-93
1531846,7,-128
1551867,0,-128
1551867,1,-85
1551867,2,-78
1551867,3,-94
1551867,4,-128
1551867,5,-128
1551867,6,-94
1551867,7,-128
1571888,0,-128
1571888,1,-85
1571888,2,-77
1571888,3,-128
1571888,4,-128
1571888,5,-128
1571888,6,-94
1571888,7,-128
1591909,0,-128
1591909,1,-82
1591909,2,-79
1591909,3,-128
1591909,4,-128
1591909,5,-128
1591909,6,-92
1591909,7,-128
242
1611964,0,-128
1611964,1,-88
1611964,2,-85
1611964,3,-128
1611964,4,-94
1611964,5,-128
1611964,6,-94
1611964,7,-94
1631985,0,-128
1631985,1,-89
1631985,2,-79
1631985,3,-128
1631985,4,-94
1631985,5,-94
1631985,6,-92
1631985,7,-128
1652006,0,-128
1652006,1,-83
1652006,2,-80
1652006,3,-128
1652006,4,-94
1652006,5,-128
1652006,6,-92
1652006,7,-128
1672027,0,-128
1672027,1,-88
1672027,2,-82
1672027,3,-128
1672027,4,-128
1672027,5,-128
1672027,6,-93
1672027,7,-128
1692048,0,-128
1692048,1,-86
1692048,2,-80
1692048,3,-128
1692048,4,-128
1692048,5,-128
1692048,6,-94
1692048,7,-128
1712069,0,-128
1712069,1,-84
1712069,2,-86
1712069,3,-128
1712069,4,-128
1712069,5,-92
1712069,6,-80
1712069,7,-94
1732090,0,-128
1732090,1,-91
1732090,2,-86
1732090,3,-94
1732090,4,-128
1732090,5,-94
1732090,6,-89
1732090,7,-128
1752111,0,-128
1752111,1,-93
1752111,2,-83
1752111,3,-128
1752111,4,-94
1752111,5,-94
1752111,6,-90
1752111,7,-128
1772132,0,-128
1772132,1,-94
1772132,2,-85
1772132,3,-128
1772132,4,-128
1772132,5,-94
1772132,6,-87
1772132,7,-128
1792153,0,-128
1792153,1,-94
1792153,2,-84
1792153,3,-128
1792153,4,-128
1792153,5,-128
1792153,6,-85
1792153,7,-128
241
1812208,0,-128
1812208,1,-92
1812208,2,-91
1812208,3,-128
1812208,4,-128
1812208,5,-94
1812208,6,-89
1812208,7,-128
1832229,0,-128
1832229,1,-88
1832229,2,-94
1832229,3,-128
1832229,4,-94
1832229,5,-128
1832229,6,-90
1832229,7,-128
1852250,0,-128
1852250,1,-128
1852250,2,-94
1852250,3,-128
1852250,4,-128
1852250,5,-128
1852250,6,-80
1852250,7,-128
1872271,0,-128
1872271,1,-94
1872271,2,-92
1872271,3,-128
1872271,4,-94
1872271,5,-94
1872271,6,-90
1872271,7,-128
1892292,0,-128
1892292,1,-94
1892292,2,-94
1892292,3,-128
1892292,4,-128
1892292,5,-128
1892292,6,-90
1892292,7,-128
1912313,0,-128
1912313,1,-128
1912313,2,-92
1912313,3,-128
1912313,4,-128
1912313,5,-94
1912313,6,-128
1912313,7,-128
1932334,0,-128
1932334,1,-128
1932334,2,-84
1932334,3,-128
1932334,4,-128
1932334,5,-94
1932334,6,-92
1932334,7,-128
1952355,0,-128
1952355,1,-128
1952355,2,-90
1952355,3,-128
1952355,4,-128
1952355,5,-94
1952355,6,-94
1952355,7,-128
1972376,0,-128
1972376,1,-128
1972376,2,-92
1972376,3,-128
1972376,4,-128
1972376,5,-128
1972376,6,-94
1972376,7,-128
1992397,0,-128
1992397,1,-128
1992397,2,-89
1992397,3,-128
1992397,4,-128
1992397,5,-128
1992397,6,-94
1992397,7,-128
240
2012452,0,-128
2012452,1,-128
2012452,2,-128
2012452,3,-128
2012452,4,-128
2012452,5,-128
2012452,6,-94
2012452,7,-128
2032473,0,-128
2032473,1,-128
2032473,2,-128
2032473,3,-128
2032473,4,-128
2032473,5,-128
2032473,6,-90
2032473,7,-128
2052494,0,-128
2052494,1,-128
2052494,2,-128
2052494,3,-128
2052494,4,-128
2052494,5,-128
2052494,6,-90
2052494,7,-128
2072515,0,-128
2072515,1,-94
2072515,2,-128
2072515,3,-128
2072515,4,-128
2072515,5,-128
2072515,6,-128
2072515,7,-128
2092536,0,-128
2092536,1,-93
2092536,2,-128
2092536,3,-128
2092536,4,-128
2092536,5,-128
2092536,6,-128
2092536,7,-128
2112557,0,-128
2112557,1,-94
2112557,2,-128
2112557,3,-94
2112557,4,-128
2112557,5,-128
2112557,6,-128
2112557,7,-128
2132578,0,-128
2132578,1,-94
2132578,2,-128
2132578,3,-128
2132578,4,-128
2132578,5,-128
2132578,6,-128
2132578,7,-128
2152599,0,-128
2152599,1,-93
2152599,2,-128
2152599,3,-93
2152599,4,-128
2152599,5,-128
2152599,6,-128
2152599,7,-128
2172620,0,-128
2172620,1,-93
2172620,2,-128
2172620,3,-94
2172620,4,-128
2172620,5,-128
2172620,6,-128
2172620,7,-128
2192641,0,-128
2192641,1,-94
2192641,2,-128
2192641,3,-94
2192641,4,-128
2192641,5,-128
2192641,6,-128
2192641,7,-128
239
2212696,0,-128
2212696,1,-93
2212696,2,-128
2212696,3,-94
2212696,4,-128
2212696,5,-128
2212696,6,-128
2212696,7,-94
2232717,0,-128
2232717,1,-94
2232717,2,-128
2232717,3,-94
2232717,4,-94
2232717,5,-128
2232717,6,-128
2232717,7,-128
2252738,0,-128
2252738,1,-94
2252738,2,-128
2252738,3,-94
2252738,4,-128
2252738,5,-128
2252738,6,-128
2252738,7,-128
2272759,0,-128
2272759,1,-94
2272759,2,-128
2272759,3,-94
2272759,4,-94
2272759,5,-128
2272759,6,-128
2272759,7,-94
2292780,0,-128
2292780,1,-93
2292780,2,-128
2292780,3,-94
2292780,4,-128
2292780,5,-128
2292780,6,-128
2292780,7,-128
2312801,0,-128
2312801,1,-93
2312801,2,-94
2312801,3,-94
2312801,4,-94
2312801,5,-128
2312801,6,-128
2312801,7,-128
2332822,0,-128
2332822,1,-128
2332822,2,-90
2332822,3,-94
2332822,4,-128
2332822,5,-128
2332822,6,-128
2332822,7,-128
2352843,0,-128
2352843,1,-128
2352843,2,-94
2352843,3,-128
2352843,4,-94
2352843,5,-128
2352843,6,-128
2352843,7,-93
2372864,0,-128
2372864,1,-94
2372864,2,-128
2372864,3,-94
2372864,4,-128
2372864,5,-128
2372864,6,-128
2372864,7,-92
2392885,0,-128
2392885,1,-94
2392885,2,-128
2392885,3,-94
2392885,4,-128
2392885,5,-128
2392885,6,-128
2392885,7,-93
238
2412940,0,-128
2412940,1,-92
2412940,2,-94
2412940,3,-128
2412940,4,-128
2412940,5,-128
2412940,6,-128
2412940,7,-94
2432961,0,-128
2432961,1,-94
2432961,2,-128
2432961,3,-94
2432961,4,-128
2432961,5,-128
2432961,6,-128
2432961,7,-128
2452982,0,-128
2452982,1,-128
2452982,2,-94
2452982,3,-94
2452982,4,-128
2452982,5,-128
2452982,6,-128
2452982,7,-128
2473003,0,-128
2473003,1,-128
2473003,2,-94
2473003,3,-94
2473003,4,-128
2473003,5,-128
2473003,6,-128
2473003,7,-128
2493024,0,-128
2493024,1,-94
2493024,2,-94
2493024,3,-128
2493024,4,-128
2493024,5,-128
2493024,6,-128
2493024,7,-128
2513045,0,-128
2513045,1,-93
2513045,2,-128
2513045,3,-128
2513045,4,-128
2513045,5,-128
2513045,6,-94
2513045,7,-128
2533066,0,-128
2533066,1,-94
2533066,2,-128
2533066,3,-128
2533066,4,-128
2533066,5,-128
2533066,6,-92
2533066,7,-94
2553087,0,-128
2553087,1,-94
2553087,2,-128
2553087,3,-128
2553087,4,-94
2553087,5,-128
2553087,6,-94
2553087,7,-94
2573108,0,-128
2573108,1,-94
2573108,2,-93
2573108,3,-128
2573108,4,-94
2573108,5,-128
2573108,6,-94
2573108,7,-94
2593129,0,-128
2593129,1,-93
2593129,2,-128
2593129,3,-94
2593129,4,-128
2593129,5,-128
2593129,6,-94
2593129,7,-94
237
2613184,0,-128
2613184,1,-94
2613184,2,-128
2613184,3,-94
2613184,4,-128
2613184,5,-128
2613184,6,-93
2613184,7,-128
2633205,0,-128
2633205,1,-94
2633205,2,-94
2633205,3,-94
2633205,4,-128
2633205,5,-128
2633205,6,-94
2633205,7,-94
2653226,0,-128
2653226,1,-94
2653226,2,-128
2653226,3,-93
2653226,4,-128
2653226,5,-128
2653226,6,-94
